id,name,salutationName,firstName,lastName,accountAnyId,title,description,emailAddress,phoneNumber,doNotCall,addressStreet,addressCity,addressState,addressCountry,addressPostalCode,accountIsInactive,accountType,createdAt,modifiedAt,hasPortalUser,targetListIsOptedOut,middleName,emailAddressIsOptedOut,emailAddressIsInvalid,phoneNumberIsOptedOut,phoneNumberIsInvalid,streamUpdatedAt,accountId,accountName,accountsColumns,opportunityRole,campaignId,campaignName,createdById,createdByName,modifiedById,modifiedByName,assignedUserId,assignedUserName,targetListId,targetListName,portalUserId,portalUserName,originalLeadId,originalLeadName,originalEmailId,originalEmailName,Column1,_1,_2,_3,_4
7a1b2c3d4e5f60701,Иван Смирнов,Mr.,Иван,Смирнов,,,Паспорт РФ 4510 123456 выдан 12.05.2015. ЗП: 120к на руки.,ivan.smirnov85@mail.ru,+76045349625,,ул. Ленина 10 кв 5,Москва,Москва,Россия,101000,,,2025-12-03 12:28:40,2025-12-03 12:28:40,,,,,,,,,,,,,,,693025af2b4f8168c,Admin,,Admin,,Admin,,,,,,,,,,,,,
7a1b2c3d4e5f60702,Мария Кузнецова,Ms.,Мария,Кузнецова,,,Декретница. Паспорт: 4612 987654. Муж работает в ФСБ.,m.kuznetsova@yandex.ru,+71648298251,,Невский пр. 22,Санкт-Петербург,Санкт-Петербург,Россия,190000,,,2025-12-03 12:28:40,2025-12-03 12:28:40,,,,,,,,,,,,,,,693025af2b4f8168c,Admin,,Admin,,Admin,,,,,,,,,,,,,
7a1b2c3d4e5f60703,Алексей Попов,Mr.,Алексей,Попов,,,Скан паспорта во вложении. Серия 5005 номер 112233.,alex.popov@bk.ru,+78698223135,,ул. Мира 5,Новосибирск,Новосибирская обл.,Россия,630000,,,2025-12-03 12:28:40,2025-12-03 12:28:40,,,,,,,,,,,,,,,693025af2b4f8168c,Admin,,Admin,,Admin,,,,,,,,,,,,,
7a1b2c3d4e5f60704,Елена Васильева,Ms.,Елена,Васильева,,,В черном списке банков. Паспорт 3304 445566.,elena_v@gmail.com,+75075086002,,ул. Гагарина 15,Екатеринбург,Свердловская обл.,Россия,620000,,,2025-12-03 12:28:40,2025-12-03 12:28:40,,,,,,,,,,,,,,,693025af2b4f8168c,Admin,,Admin,,Admin,,,,,,,,,,,,,
7a1b2c3d4e5f60705,Дмитрий Соколов,Mr.,Дмитрий,Соколов,,,Паспорт 7733 881123. Допуск.,d.sokolov@rambler.ru,+79241619263,,ул. Кирова 1,Казань,Татарстан,Россия,420000,,,2025-12-03 12:28:40,2025-12-03 12:28:40,,,,,,,,,,,,,,,693025af2b4f8168c,Admin,,Admin,,Admin,,,,,,,,,,,,,
7a1b2c3d4e5f60706,Ольга Михайлова,Ms.,Ольга,Михайлова,,,Кредитная история плохая. Паспорт 2200 998877.,olga.m@inbox.ru,+78950317382,,ул. Советская 50,Нижний Новгород,Нижегородская обл.,Россия,603000,,,2025-12-03 12:28:40,2025-12-03 12:28:40,,,,,,,,,,,,,,,693025af2b4f8168c,Admin,,Admin,,Admin,,,,,,,,,,,,,
7a1b2c3d4e5f60707,Сергей Новиков,Mr.,Сергей,Новиков,,,Паспорт РК Е097856-34. ИИН 850101300456 (Казахстан). Переезд в РФ.,sergey.nov@mail.ru,+74968202402,,пр. Абая 10,Алматы,,Казахстан,050000,,,2025-12-03 12:28:40,2025-12-03 12:28:40,,,,,,,,,,,,,,,693025af2b4f8168c,Admin,,Admin,,Admin,,,,,,,,,,,,,
7a1b2c3d4e5f60708,Татьяна Федорова,Ms.,Татьяна,Федорова,,,Паспорт утерян. Временное удостоверение №555 987 от 28.09.2025.,t.fedorova@list.ru,+73585265000,,ул. Ленина 5,Челябинск,Челябинская обл.,Россия,454000,,,2025-12-03 12:28:40,2025-12-03 12:28:40,,,,,,,,,,,,,,,693025af2b4f8168c,Admin,,Admin,,Admin,,,,,,,,,,,,,
7a1b2c3d4e5f60709,Андрей Морозов,Mr.,Андрей,Морозов,,, Паспорт 8701 338765.,andrey.moroz@yandex.ru,+77162053817,,ул. Московская 10,Самара,Самарская обл.,Россия,443000,,,2025-12-03 12:28:40,2025-12-03 12:28:40,,,,,,,,,,,,,,,693025af2b4f8168c,Admin,,Admin,,Admin,,,,,,,,,,,,,
7a1b2c3d4e5f60710,Наталья Волкова,Ms.,Наталья,Волкова,,,https://hh.ru/resume/ab12cd34. Зарплатные ожидания: 200к.,n.volkova@gmail.com,+79007596835,,ул. Красный путь 20,Омск,Омская обл.,Россия,644000,,,2025-12-03 12:28:40,2025-12-03 12:28:40,,,,,,,,,,,,,,,693025af2b4f8168c,Admin,,Admin,,Admin,,,,,,,,,,,,,
